Gender,AgeGroup,Education,Profession,Income,Switcher,LastPurchase,Annual_Spend,APhone
M,35-44,Associate,Architect,87894,0,3,600.0,0.0
F,65+,Bachelors,Programmer,67991,0,2,539.0,0.0
M,35-44,HighSchool,Janitor,19530,1,1,460.0,0.0
M,55-64,Bachelors,Lawyer,202141,0,2,1237.0,1.0
M,55-64,HighSchool,Secretary,23764,1,1,341.0,0.0
M,35-44,HighSchool,Clerk,17130,0,5,285.0,0.0
M,25-34,HighSchool,Secretary,10412,1,2,593.0,0.0
F,45-54,Masters,Lawyer,107846,0,4,808.0,1.0
M,35-44,Masters,Lawyer,173986,0,2,281.0,0.0
F,35-44,Bachelors,Executive,248705,0,3,1275.0,1.0
F,25-34,Bachelors,Architect,81677,0,3,239.0,0.0
F,18-24,HighSchool,Student,19711,1,2,739.0,0.0
M,25-34,Bachelors,Lawyer,182831,1,2,730.0,1.0
F,55-64,Bachelors,Programmer,73420,0,2,1184.0,1.0
F,25-34,HighSchool,Janitor,32633,1,2,188.0,0.0
M,65+,HighSchool,Clerk,20703,0,5,605.0,0.0
M,35-44,Associate,Teacher,16152,1,2,706.0,0.0
M,25-34,Masters,Nurse,43336,1,1,1135.0,1.0
F,45-54,Associate,Nurse,87100,0,4,175.0,0.0
F,25-34,Associate,Clerk,35567,0,5,400.0,0.0
M,25-34,Bachelors,Technician,55102,1,1,892.0,1.0
M,45-54,Bachelors,Doctor,289919,0,3,1049.0,1.0
M,65+,Masters,Lawyer,181747,0,2,1091.0,1.0
F,55-64,Masters,Nurse,97772,1,2,360.0,0.0
M,25-34,HighSchool,Teacher,28934,1,2,500.0,0.0
F,18-24,Associate,Student,24905,1,2,209.0,0.0
F,55-64,Bachelors,Manager,50429,0,2,218.0,0.0
F,55-64,Doctorate,Entrepreneur,167556,0,5,1290.0,1.0
F,65+,Bachelors,Technician,82008,0,4,458.0,0.0
M,65+,Masters,Doctor,260374,0,2,571.0,0.0
F,35-44,Associate,Student,13077,0,3,469.0,0.0
M,25-34,Bachelors,Architect,56247,1,2,262.0,0.0
M,25-34,HighSchool,Janitor,23571,1,1,573.0,0.0
M,65+,Masters,Executive,110718,0,5,1318.0,1.0
M,65+,Bachelors,Architect,68650,0,2,720.0,0.0
M,55-64,HighSchool,Janitor,30921,0,3,579.0,0.0
M,35-44,Bachelors,Nurse,56845,0,2,946.0,1.0
F,45-54,Bachelors,Doctor,271002,1,1,490.0,0.0
M,35-44,Bachelors,Doctor,230967,0,4,1025.0,1.0
M,25-34,HighSchool,Janitor,15684,1,1,506.0,0.0
M,18-24,Associate,Architect,42718,1,2,394.0,0.0
F,25-34,Associate,Nurse,97962,1,2,1163.0,1.0
M,25-34,Associate,Architect,40014,1,2,215.0,0.0
M,55-64,Bachelors,Manager,47670,0,5,1354.0,1.0
F,25-34,Masters,Performer,167271,1,2,661.0,0.0
M,65+,Doctorate,Lawyer,169654,0,4,337.0,0.0
M,65+,Masters,Lawyer,142561,0,2,725.0,0.0
M,65+,HighSchool,Janitor,17168,1,1,698.0,0.0
M,55-64,HighSchool,Student,35220,0,4,805.0,1.0
M,35-44,Bachelors,Architect,93134,1,1,759.0,1.0
M,45-54,HighSchool,Janitor,27972,1,1,329.0,0.0
M,65+,Associate,Secretary,19793,0,3,530.0,0.0
M,65+,Associate,Student,35704,0,5,854.0,1.0
F,65+,Bachelors,Nurse,90143,0,4,1138.0,1.0
M,55-64,Doctorate,Performer,248511,0,3,534.0,0.0
M,25-34,HighSchool,Teacher,28935,1,2,741.0,0.0
M,25-34,Bachelors,Architect,95365,1,2,487.0,0.0
M,25-34,Masters,Entrepreneur,184952,0,2,506.0,0.0
M,18-24,HighSchool,Clerk,19425,1,2,469.0,0.0
M,55-64,Bachelors,Executive,281117,1,2,906.0,1.0
F,25-34,Associate,Teacher,12107,1,1,1410.0,1.0
M,25-34,Associate,Clerk,35354,1,1,380.0,0.0
M,65+,Masters,Doctor,308588,0,4,744.0,0.0
M,55-64,Associate,Clerk,22043,0,4,312.0,0.0
F,55-64,Bachelors,Technician,52079,0,3,1334.0,1.0
M,45-54,Masters,Lawyer,205375,0,4,610.0,0.0
M,25-34,Associate,Clerk,17671,0,3,749.0,0.0
M,35-44,Masters,Doctor,107892,1,1,1414.0,1.0
M,45-54,HighSchool,Secretary,27578,0,3,483.0,0.0
F,65+,Masters,Lawyer,395287,1,2,1161.0,0.0
F,35-44,Masters,Performer,200407,0,5,320.0,0.0
F,25-34,HighSchool,Secretary,15419,1,1,799.0,1.0
F,18-24,HighSchool,Janitor,15244,1,1,580.0,0.0
F,25-34,HighSchool,Janitor,12144,1,2,400.0,0.0
M,35-44,Doctorate,Lawyer,103314,0,5,765.0,0.0
M,35-44,Masters,Lawyer,201650,0,3,1039.0,1.0
M,35-44,Bachelors,Architect,59480,0,5,634.0,0.0
M,35-44,Doctorate,Performer,274004,0,4,238.0,0.0
M,45-54,HighSchool,Student,29713,0,3,494.0,0.0
M,55-64,Associate,Programmer,84802,1,2,1013.0,0.0
F,25-34,HighSchool,Clerk,34113,1,1,607.0,0.0
M,35-44,Doctorate,Performer,292852,0,3,502.0,0.0
F,45-54,Masters,Performer,123218,0,2,1190.0,1.0
M,45-54,Doctorate,Performer,200790,0,3,329.0,0.0
F,45-54,Bachelors,Programmer,63851,0,3,789.0,1.0
F,65+,Bachelors,Entrepreneur,150024,0,4,741.0,1.0
M,45-54,HighSchool,Student,17345,0,4,264.0,0.0
M,25-34,HighSchool,Clerk,10063,1,1,746.0,0.0
M,35-44,Masters,Technician,99922,0,5,1442.0,1.0
M,55-64,HighSchool,Secretary,15618,0,4,645.0,0.0
M,18-24,HighSchool,Clerk,14126,1,1,411.0,0.0
M,65+,Masters,Entrepreneur,243902,0,2,1402.0,1.0
M,35-44,Masters,Executive,168075,0,2,636.0,0.0
M,18-24,HighSchool,Student,11730,0,4,1370.0,1.0
F,65+,Masters,Programmer,61033,1,1,260.0,0.0
F,55-64,HighSchool,Teacher,15421,0,5,759.0,0.0
F,35-44,HighSchool,Janitor,25323,1,1,439.0,0.0
M,65+,Masters,Executive,359912,0,3,1388.0,1.0
M,18-24,HighSchool,Clerk,35603,1,1,444.0,0.0
F,18-24,Masters,Nurse,65289,1,1,920.0,1.0
M,35-44,Bachelors,Doctor,111054,0,4,689.0,0.0
F,18-24,HighSchool,Secretary,8188,1,1,202.0,0.0
M,35-44,Bachelors,Architect,62141,0,3,1465.0,1.0
M,55-64,Masters,Architect,83139,0,3,951.0,1.0
M,25-34,Associate,Janitor,39741,1,2,535.0,0.0
M,55-64,Doctorate,Performer,127844,0,3,561.0,0.0
F,55-64,Doctorate,Doctor,176048,1,1,1180.0,1.0
F,25-34,Doctorate,Executive,116538,1,1,598.0,0.0
M,25-34,Doctorate,Doctor,170785,1,2,599.0,0.0
M,55-64,Masters,Doctor,163088,0,2,724.0,0.0
F,55-64,Bachelors,Manager,46876,0,2,350.0,0.0
M,35-44,Masters,Entrepreneur,101475,0,5,551.0,0.0
M,25-34,Masters,Architect,69664,1,1,1295.0,0.0
M,25-34,HighSchool,Student,10662,1,1,440.0,0.0
M,55-64,Doctorate,Doctor,152612,0,4,221.0,0.0
F,55-64,Bachelors,Programmer,63525,1,1,790.0,1.0
M,45-54,Bachelors,Entrepreneur,148991,1,2,609.0,0.0
M,45-54,Bachelors,Executive,253680,0,2,1066.0,1.0
M,25-34,HighSchool,Secretary,23762,1,1,729.0,0.0
M,65+,Associate,Architect,46042,0,5,230.0,0.0
M,35-44,Doctorate,Doctor,222939,0,5,605.0,0.0
M,55-64,HighSchool,Clerk,25189,0,4,410.0,0.0
M,25-34,Bachelors,Architect,53326,0,5,175.0,0.0
M,45-54,HighSchool,Clerk,15270,1,2,1298.0,1.0
M,25-34,Associate,Clerk,29029,1,1,872.0,1.0
F,45-54,Doctorate,Doctor,288918,1,1,1396.0,1.0
F,45-54,Bachelors,Lawyer,123641,0,4,757.0,0.0
M,65+,Masters,Technician,54179,0,5,714.0,0.0
F,55-64,Doctorate,Performer,208747,1,2,290.0,0.0
M,45-54,Bachelors,Nurse,91464,1,1,262.0,0.0
M,35-44,HighSchool,Student,13297,0,5,620.0,0.0
M,25-34,Masters,Manager,86175,1,1,493.0,0.0
M,25-34,HighSchool,Janitor,35085,0,4,536.0,0.0
M,45-54,Masters,Entrepreneur,160546,1,1,701.0,0.0
F,25-34,HighSchool,Secretary,10344,0,4,186.0,0.0
F,18-24,HighSchool,Clerk,21256,1,2,278.0,0.0
F,55-64,Masters,Executive,241673,1,1,1225.0,1.0
M,35-44,Doctorate,Lawyer,230742,0,4,1145.0,1.0
F,35-44,Bachelors,Architect,74819,1,2,1096.0,1.0
M,25-34,Doctorate,Doctor,125934,0,3,578.0,0.0
M,45-54,Doctorate,Entrepreneur,130856,1,1,1096.0,1.0
M,55-64,HighSchool,Clerk,37296,0,5,253.0,0.0
M,25-34,Masters,Doctor,174250,0,3,231.0,0.0
M,45-54,Associate,Programmer,53972,0,5,963.0,1.0
M,35-44,Associate,Janitor,26329,0,5,313.0,0.0
M,55-64,Masters,Lawyer,131586,1,1,324.0,0.0
M,25-34,Associate,Student,10355,1,2,439.0,0.0
M,25-34,HighSchool,Clerk,38303,1,2,365.0,0.0
M,35-44,Masters,Entrepreneur,215162,0,2,724.0,0.0
F,45-54,Bachelors,Nurse,59305,1,1,413.0,0.0
M,25-34,HighSchool,Secretary,14720,0,5,517.0,0.0
M,65+,HighSchool,Janitor,21487,0,5,342.0,0.0
M,45-54,Doctorate,Entrepreneur,124840,0,3,1444.0,1.0
F,65+,HighSchool,Janitor,18674,0,2,521.0,0.0
M,55-64,HighSchool,Teacher,39085,0,2,709.0,0.0
F,35-44,Bachelors,Executive,214207,0,3,1236.0,1.0
M,55-64,HighSchool,Secretary,31035,0,5,296.0,0.0
F,65+,HighSchool,Secretary,33287,0,4,563.0,0.0
M,45-54,Masters,Manager,76524,0,4,344.0,0.0
M,45-54,Bachelors,Executive,125728,0,4,1405.0,0.0
F,35-44,HighSchool,Janitor,13815,0,3,312.0,0.0
M,18-24,HighSchool,Student,16857,1,1,274.0,0.0
M,35-44,Masters,Executive,284001,1,1,201.0,0.0
M,18-24,Bachelors,Architect,40377,1,1,792.0,0.0
M,35-44,Masters,Architect,49214,1,2,1348.0,1.0
M,45-54,Masters,Executive,160497,0,2,1064.0,1.0
M,45-54,Doctorate,Performer,113164,1,2,184.0,0.0
F,65+,HighSchool,Teacher,39120,1,2,376.0,0.0
F,55-64,Masters,Architect,70682,1,1,1114.0,1.0
M,45-54,Bachelors,Programmer,88313,0,3,399.0,0.0
M,65+,HighSchool,Secretary,27178,0,4,295.0,0.0
M,55-64,HighSchool,Secretary,19021,0,2,628.0,0.0
M,55-64,Masters,Entrepreneur,218843,0,2,752.0,1.0
M,25-34,Bachelors,Architect,54447,1,2,1417.0,1.0
M,18-24,Associate,Student,18717,1,2,583.0,0.0
M,25-34,HighSchool,Clerk,27616,1,1,709.0,1.0
F,45-54,Associate,Student,37304,1,2,445.0,0.0
M,35-44,HighSchool,Secretary,14155,0,5,1026.0,1.0
M,35-44,Masters,Doctor,271123,0,2,744.0,1.0
M,45-54,Associate,Nurse,61380,1,2,537.0,0.0
M,25-34,Bachelors,Nurse,83165,1,1,733.0,0.0
M,45-54,Masters,Performer,244306,0,2,660.0,0.0
M,55-64,HighSchool,Student,38461,0,2,591.0,0.0
M,18-24,HighSchool,Clerk,38219,1,2,227.0,0.0
F,45-54,Masters,Entrepreneur,204020,0,2,1404.0,1.0
F,45-54,HighSchool,Janitor,16368,1,1,750.0,0.0
M,35-44,HighSchool,Teacher,35401,1,1,197.0,0.0
F,35-44,Bachelors,Nurse,55700,0,4,738.0,1.0
M,65+,HighSchool,Janitor,23831,0,2,786.0,1.0
M,45-54,Masters,Entrepreneur,103965,0,2,724.0,1.0
F,25-34,HighSchool,Student,28797,1,2,645.0,0.0
M,55-64,Masters,Entrepreneur,299534,0,4,332.0,0.0
M,25-34,Doctorate,Performer,171705,1,2,268.0,0.0
M,35-44,Masters,Programmer,51013,0,2,754.0,0.0
M,65+,Bachelors,Performer,144422,0,5,750.0,0.0
M,25-34,Masters,Performer,153753,1,2,287.0,0.0
M,55-64,Bachelors,Lawyer,188283,1,1,1380.0,1.0
F,35-44,HighSchool,Janitor,28554,0,4,743.0,0.0
M,45-54,Bachelors,Programmer,77897,1,2,251.0,0.0
M,55-64,HighSchool,Janitor,16422,0,5,505.0,0.0
M,25-34,HighSchool,Teacher,10468,0,4,229.0,0.0
M,65+,Associate,Clerk,34737,1,2,455.0,0.0
M,65+,Bachelors,Entrepreneur,104177,0,3,295.0,0.0
M,65+,HighSchool,Clerk,16814,0,4,401.0,0.0
M,65+,Masters,Performer,283429,0,4,752.0,0.0
F,65+,HighSchool,Secretary,37072,1,1,172.0,0.0
F,45-54,Doctorate,Executive,292973,0,3,453.0,0.0
M,18-24,Bachelors,Architect,56594,1,2,804.0,0.0
M,25-34,Masters,Manager,75790,1,1,373.0,0.0
M,45-54,Doctorate,Entrepreneur,263815,1,1,1180.0,1.0
M,65+,Masters,Performer,240673,0,3,681.0,0.0
M,55-64,Bachelors,Doctor,125295,1,2,827.0,1.0
M,18-24,Associate,Clerk,8094,1,1,283.0,0.0
M,35-44,Bachelors,Technician,51590,0,2,177.0,0.0
M,65+,Masters,Manager,44135,0,4,1102.0,1.0
M,55-64,Masters,Entrepreneur,268673,0,3,1038.0,1.0
F,25-34,Masters,Nurse,48153,1,1,740.0,0.0
F,65+,Masters,Executive,111527,0,3,858.0,0.0
F,45-54,Masters,Architect,67584,0,2,793.0,0.0
F,55-64,Masters,Doctor,283664,1,2,1026.0,1.0
M,55-64,Bachelors,Lawyer,163862,1,1,1366.0,1.0
F,55-64,Masters,Lawyer,217541,0,4,481.0,0.0
F,35-44,Masters,Entrepreneur,170324,0,4,725.0,0.0
M,25-34,Associate,Teacher,27273,1,1,609.0,0.0
M,65+,Masters,Doctor,304638,0,4,253.0,0.0
F,35-44,Doctorate,Executive,188438,0,4,597.0,0.0
M,65+,Masters,Entrepreneur,267998,0,3,814.0,0.0
F,65+,HighSchool,Secretary,15976,1,2,559.0,0.0
F,25-34,HighSchool,Student,23446,1,1,723.0,0.0
M,65+,Masters,Lawyer,391753,0,5,1123.0,1.0
M,45-54,Bachelors,Technician,49718,0,2,413.0,0.0
M,25-34,Associate,Secretary,12981,0,5,872.0,1.0
M,45-54,Doctorate,Entrepreneur,231650,0,3,732.0,0.0
M,25-34,Bachelors,Architect,81556,1,1,1292.0,0.0
M,25-34,Masters,Doctor,133663,0,2,698.0,0.0
M,65+,Associate,Nurse,75880,0,5,650.0,0.0
F,55-64,Doctorate,Entrepreneur,138728,0,4,799.0,1.0
M,45-54,Masters,Lawyer,143792,0,4,786.0,1.0
M,18-24,Bachelors,Architect,52476,1,2,208.0,0.0
M,25-34,HighSchool,Teacher,27758,1,2,714.0,0.0
M,35-44,Doctorate,Doctor,224959,0,4,626.0,0.0
M,65+,HighSchool,Student,37212,0,5,341.0,0.0
M,55-64,Associate,Janitor,15451,0,3,393.0,0.0
M,55-64,HighSchool,Janitor,38158,1,2,439.0,0.0
F,25-34,HighSchool,Student,19109,1,2,529.0,0.0
M,45-54,Masters,Doctor,123601,0,2,516.0,0.0
M,65+,Masters,Manager,71511,1,2,986.0,0.0
M,18-24,Associate,Manager,57918,1,2,1480.0,1.0
M,35-44,Doctorate,Executive,263613,1,2,447.0,0.0
M,45-54,HighSchool,Janitor,15584,0,3,321.0,0.0
F,35-44,Masters,Programmer,99042,1,2,668.0,0.0
M,25-34,Bachelors,Entrepreneur,105662,0,5,174.0,0.0
M,25-34,Associate,Secretary,28590,1,1,610.0,0.0
M,55-64,Associate,Clerk,19699,0,3,409.0,0.0
M,55-64,Doctorate,Executive,125105,0,4,997.0,1.0
M,45-54,Doctorate,Executive,154785,1,2,633.0,0.0
M,45-54,HighSchool,Janitor,22609,0,5,384.0,0.0
F,35-44,Doctorate,Entrepreneur,204917,1,2,1348.0,1.0
M,45-54,HighSchool,Teacher,15335,0,4,715.0,0.0
F,55-64,Bachelors,Nurse,44071,1,1,753.0,0.0
M,45-54,HighSchool,Teacher,15005,0,2,260.0,0.0
F,65+,HighSchool,Clerk,18367,0,5,646.0,0.0
F,55-64,Masters,Entrepreneur,173524,0,3,343.0,0.0
M,25-34,Masters,Lawyer,176340,1,2,517.0,0.0
F,65+,Associate,Secretary,21247,0,3,651.0,0.0
M,25-34,HighSchool,Secretary,10177,1,1,380.0,0.0
M,65+,HighSchool,Clerk,37158,1,2,1131.0,0.0
F,55-64,Associate,Secretary,17532,0,5,458.0,0.0
F,55-64,Associate,Clerk,28696,0,2,1153.0,1.0
M,45-54,HighSchool,Student,16692,0,5,638.0,0.0
M,35-44,Bachelors,Lawyer,269993,0,2,951.0,1.0
M,35-44,Doctorate,Performer,119404,0,5,612.0,0.0
M,35-44,HighSchool,Clerk,15522,0,4,401.0,0.0
M,65+,Bachelors,Doctor,222834,1,2,184.0,0.0
F,35-44,Doctorate,Entrepreneur,157385,0,2,749.0,1.0
F,55-64,Associate,Programmer,95608,1,1,997.0,1.0
F,35-44,HighSchool,Clerk,19717,0,5,490.0,0.0
F,45-54,Doctorate,Performer,198402,1,1,474.0,0.0
M,35-44,Masters,Executive,280714,0,5,643.0,0.0
M,35-44,Associate,Clerk,26807,1,1,836.0,1.0
F,65+,HighSchool,Secretary,19983,1,1,263.0,0.0
F,45-54,Masters,Lawyer,248723,0,5,813.0,1.0
F,35-44,Bachelors,Technician,96734,0,3,410.0,0.0
F,25-34,Masters,Performer,122005,0,4,330.0,0.0
M,45-54,HighSchool,Student,16506,0,4,193.0,0.0
M,55-64,Doctorate,Executive,339491,0,4,443.0,0.0
M,45-54,Masters,Performer,283604,0,2,295.0,0.0
M,35-44,Masters,Nurse,83184,0,3,713.0,1.0
F,25-34,Doctorate,Executive,131277,1,2,468.0,0.0
M,25-34,HighSchool,Teacher,10389,1,2,710.0,0.0
F,45-54,Doctorate,Lawyer,147597,0,5,272.0,0.0
M,18-24,Associate,Programmer,65559,0,5,605.0,0.0
M,65+,Bachelors,Programmer,91638,1,2,461.0,0.0
M,35-44,Masters,Entrepreneur,175608,0,5,925.0,1.0
F,25-34,HighSchool,Student,31467,1,2,460.0,0.0
F,65+,Bachelors,Architect,81708,0,3,380.0,0.0
M,25-34,Masters,Performer,168721,1,2,381.0,0.0
M,18-24,Associate,Teacher,14540,0,4,441.0,0.0
M,35-44,Bachelors,Performer,132171,0,2,246.0,0.0
F,55-64,HighSchool,Clerk,26448,0,2,498.0,0.0
M,25-34,Associate,Secretary,16994,1,2,242.0,0.0
F,25-34,Masters,Manager,86611,1,2,1124.0,1.0
M,45-54,HighSchool,Secretary,19257,0,2,1331.0,1.0
M,65+,Doctorate,Entrepreneur,187795,0,3,669.0,0.0
M,45-54,HighSchool,Teacher,30909,0,2,640.0,0.0
M,65+,HighSchool,Secretary,17521,1,2,1397.0,1.0
F,25-34,Masters,Entrepreneur,158204,0,2,354.0,0.0
M,45-54,Bachelors,Manager,88596,0,3,619.0,0.0
F,35-44,Masters,Executive,212420,0,3,855.0,1.0
F,25-34,Masters,Nurse,70074,1,2,768.0,0.0
M,55-64,Masters,Programmer,77122,0,4,765.0,0.0
F,25-34,Associate,Nurse,90526,0,3,871.0,0.0
F,55-64,Bachelors,Nurse,97564,0,2,877.0,1.0
F,65+,HighSchool,Student,26546,0,5,1492.0,1.0
F,25-34,Doctorate,Doctor,144867,1,2,330.0,0.0
F,35-44,Associate,Janitor,15746,1,2,675.0,0.0
M,45-54,Masters,Executive,223529,0,4,479.0,0.0
F,25-34,Associate,Secretary,13916,1,1,972.0,1.0
F,55-64,Bachelors,Technician,49354,1,2,269.0,0.0
F,55-64,Bachelors,Programmer,63975,0,5,362.0,0.0
M,45-54,Masters,Executive,191975,0,2,578.0,0.0
M,25-34,Doctorate,Lawyer,143440,1,1,362.0,0.0
M,25-34,Masters,Technician,58871,1,2,1079.0,1.0
F,35-44,HighSchool,Teacher,38595,1,2,187.0,0.0
F,25-34,Masters,Technician,95451,1,2,170.0,0.0
M,18-24,Associate,Technician,64244,0,3,509.0,0.0
M,55-64,Masters,Performer,348985,1,2,1359.0,1.0
M,35-44,Bachelors,Technician,73597,0,3,711.0,0.0
F,25-34,Masters,Doctor,145523,0,5,181.0,0.0
F,35-44,HighSchool,Teacher,17550,0,2,735.0,0.0
M,25-34,Masters,Entrepreneur,186374,1,1,1458.0,1.0
M,35-44,Doctorate,Executive,159387,1,1,1179.0,1.0
M,35-44,HighSchool,Clerk,19417,0,3,761.0,0.0
M,35-44,Masters,Entrepreneur,259977,0,2,282.0,0.0
M,55-64,HighSchool,Janitor,16825,1,2,476.0,0.0
M,55-64,Masters,Lawyer,217739,0,3,1116.0,1.0
M,55-64,HighSchool,Clerk,25084,1,1,437.0,0.0
M,45-54,Associate,Student,22632,0,3,1446.0,1.0
F,35-44,Doctorate,Doctor,295650,1,2,567.0,0.0
M,55-64,Masters,Doctor,185388,0,4,716.0,1.0
F,55-64,Bachelors,Performer,123134,0,3,522.0,0.0
M,25-34,Doctorate,Executive,113965,0,2,1303.0,1.0
M,55-64,Doctorate,Lawyer,139473,0,5,555.0,0.0
M,65+,Masters,Lawyer,272430,1,1,714.0,0.0
F,25-34,Masters,Nurse,48544,1,2,891.0,1.0
M,45-54,Masters,Entrepreneur,193844,1,1,1196.0,1.0
M,18-24,HighSchool,Janitor,25783,0,3,363.0,0.0
M,45-54,Doctorate,Entrepreneur,141963,0,4,1297.0,1.0
F,65+,HighSchool,Student,23666,1,1,418.0,0.0
M,55-64,HighSchool,Clerk,36459,0,3,454.0,0.0
M,55-64,Doctorate,Doctor,193441,1,2,857.0,1.0
F,35-44,Masters,Entrepreneur,251622,1,1,180.0,0.0
M,45-54,Masters,Architect,56644,0,5,1479.0,1.0
F,25-34,HighSchool,Secretary,20086,1,1,250.0,0.0
M,55-64,HighSchool,Clerk,28694,0,2,542.0,0.0
F,65+,Doctorate,Performer,261375,0,4,501.0,0.0
M,55-64,Masters,Manager,40724,0,2,316.0,0.0
M,35-44,HighSchool,Clerk,29822,0,2,453.0,0.0
M,35-44,Masters,Doctor,131971,0,2,664.0,0.0
M,55-64,Masters,Architect,87679,0,2,496.0,0.0
M,45-54,Doctorate,Executive,148054,0,4,1148.0,1.0
F,18-24,Associate,Teacher,27024,1,1,178.0,0.0
M,35-44,Masters,Performer,295972,1,1,425.0,0.0
M,55-64,Bachelors,Technician,42378,0,3,1168.0,0.0
F,65+,Bachelors,Manager,55857,0,3,488.0,0.0
F,45-54,Associate,Janitor,28003,0,2,487.0,0.0
M,25-34,Masters,Manager,44960,1,2,851.0,0.0
F,25-34,Doctorate,Doctor,175828,1,2,947.0,0.0
M,45-54,HighSchool,Clerk,15730,0,2,567.0,0.0
F,18-24,HighSchool,Clerk,22888,1,2,174.0,0.0
M,25-34,HighSchool,Clerk,11736,1,2,961.0,1.0
F,45-54,Associate,Secretary,15008,0,4,729.0,0.0
M,25-34,Associate,Programmer,89549,1,1,1296.0,0.0
M,45-54,Masters,Executive,229336,0,5,266.0,0.0
M,65+,Masters,Nurse,68899,1,1,1073.0,0.0
F,65+,Masters,Performer,273821,1,1,507.0,0.0
F,25-34,Bachelors,Nurse,46439,1,1,1192.0,1.0
M,25-34,HighSchool,Secretary,12453,1,1,618.0,0.0
F,25-34,Doctorate,Executive,147250,0,2,746.0,0.0
M,25-34,Masters,Entrepreneur,143387,1,2,610.0,0.0
M,35-44,HighSchool,Teacher,13649,0,3,188.0,0.0
M,35-44,Masters,Performer,124435,0,5,232.0,0.0
M,65+,Doctorate,Doctor,222144,0,4,1473.0,1.0
M,35-44,Masters,Manager,55519,0,5,193.0,0.0
M,25-34,Masters,Performer,165357,0,2,743.0,0.0
